learning_rate,best_epoch,best_val_loss
1e-06,99.0,1.327994704246521
1.1233240329780266e-06,99.0,1.323144555091858
1.261856883066021e-06,99.0,1.3186997175216675
1.4174741629268049e-06,99.0,1.3146510124206543
1.592282793341094e-06,99.0,1.311087965965271
1.788649529057435e-06,99.0,1.307665228843689
2.0092330025650458e-06,99.0,1.3042559623718262
2.2570197196339214e-06,99.0,1.3004789352416992
2.5353644939701112e-06,99.0,1.29584538936615
2.848035868435799e-06,99.0,1.2895780801773071
3.1992671377973847e-06,99.0,1.2811591625213623
3.5938136638046257e-06,99.0,1.269169807434082
4.037017258596558e-06,99.0,1.252536654472351
4.534878508128582e-06,99.0,1.2315139770507812
5.0941380148163755e-06,99.0,1.2062537670135498
5.72236765935022e-06,99.0,1.1775258779525757
6.4280731172843194e-06,99.0,1.1465729475021362
7.220809018385457e-06,99.0,1.1157324314117432
8.111308307896873e-06,99.0,1.0865992307662964
9.111627561154887e-06,99.0,1.0598561763763428
1.023531021899027e-05,99.0,1.0352829694747925
1.1497569953977357e-05,99.0,1.0115479230880737
1.2915496650148827e-05,99.0,0.9851341247558594
1.4508287784959402e-05,99.0,0.9588512778282166
1.6297508346206434e-05,99.0,0.9347723126411438
1.8307382802953696e-05,99.0,0.9147713780403137
2.0565123083486515e-05,99.0,0.8958884477615356
2.310129700083158e-05,99.0,0.8805307745933533
2.5950242113997373e-05,99.0,0.8649193644523621
2.9150530628251757e-05,99.0,0.8442471623420715
3.274549162877732e-05,99.0,0.8300476670265198
3.678379771828634e-05,99.0,0.8178232312202454
4.1320124001153344e-05,99.0,0.8079094290733337
4.641588833612782e-05,98.0,0.8029895424842834
5.2140082879996844e-05,99.0,0.8006755709648132
5.8570208180566735e-05,17.0,0.8001792430877686
6.579332246575683e-05,98.0,0.797966480255127
7.390722033525775e-05,6.0,0.7977297902107239
8.302175681319735e-05,95.0,0.7934075593948364
9.326033468832199e-05,97.0,0.7810446619987488
0.00010476157527896651,99.0,0.7622237205505371
0.0001176811952434998,98.0,0.7462192177772522
0.00013219411484660288,99.0,0.7279868721961975
0.0001484968262254465,98.0,0.7088404893875122
0.0001668100537200059,98.0,0.6984907388687134
0.0001873817422860383,87.0,0.6922556161880493
0.00021049041445120198,13.0,0.6916292309761047
0.00023644894126454073,12.0,0.6908731460571289
0.00026560877829466864,8.0,0.6905624866485596
0.00029836472402833405,2.0,0.6905439496040344
0.0003351602650938841,9.0,0.6900452971458435
0.00037649358067924675,12.0,0.6896674633026123
0.0004229242874389499,20.0,0.6886975765228271
0.00047508101621027984,7.0,0.6880274415016174
0.0005336699231206307,11.0,0.6874970197677612
0.0005994842503189409,9.0,0.6891281604766846
0.0006734150657750821,7.0,0.6887590885162354
0.000756463327554629,5.0,0.6879450082778931
0.0008497534359086438,7.0,0.6875799894332886
0.0009545484566618337,4.0,0.6884526014328003
0.0010722672220103231,13.0,0.688403308391571
0.0012045035402587824,17.0,0.6872990131378174
0.0013530477745798061,19.0,0.6884251832962036
0.0015199110829529332,8.0,0.6917437314987183
0.0017073526474706904,6.0,0.6906461119651794
0.0019179102616724887,4.0,0.692186176776886
0.0021544346900318843,5.0,0.6931881904602051
0.002420128264794381,0.0,0.6945286393165588
0.00271858824273294,0.0,0.6951072812080383
0.0030538555088334154,6.0,0.6934105157852173
0.003430469286314919,5.0,0.6962644457817078
0.0038535285937105275,17.0,0.6982449889183044
0.004328761281083057,16.0,0.7000438570976257
0.004862601580065354,6.0,0.7008134126663208
0.0054622772176843425,7.0,0.696601390838623
0.006135907273413169,4.0,0.6997345685958862
0.006892612104349695,11.0,0.7038649916648865
0.007742636826811269,16.0,0.7059895396232605
0.008697490026177835,3.0,0.7044972777366638
0.009770099572992247,6.0,0.7093154788017273
0.010974987654930568,8.0,0.7058793902397156
0.012328467394420659,20.0,0.7060018181800842
0.013848863713938717,2.0,0.711209774017334
0.015556761439304723,4.0,0.7114316821098328
0.017475284000076828,3.0,0.7139114737510681
0.019630406500402726,9.0,0.7103437185287476
0.022051307399030457,11.0,0.7399463057518005
0.02477076355991709,5.0,0.7321914434432983
0.02782559402207126,32.0,0.7406294941902161
0.031257158496882355,13.0,0.7336137890815735
0.03511191734215127,4.0,0.7374829053878784
0.03944206059437656,16.0,0.7413212656974792
0.044306214575838776,7.0,0.7929185032844543
0.049770235643321135,16.0,0.802023708820343
0.05590810182512223,15.0,0.8998086452484131
0.06280291441834246,14.0,0.8912577629089355
0.07054802310718646,11.0,0.8834096789360046
0.0792482898353917,7.0,0.8855352401733398
0.08902150854450393,24.0,1.0255992412567139
0.1,0.0,1.1826822757720947
